id,name,type,stack,xyflip,smooth,fill,sort,ribbon,roseType,mapType,mapMode
1,scatter,scatter,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2,point,scatter,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
3,hbar,bar,FALSE,TRUE,FALSE,FALSE,,FALSE,,,
4,hbar_stack,bar,TRUE,TRUE,FALSE,FALSE,,FALSE,,,
5,vbar,bar,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
6,vbar_stack,bar,TRUE,FALSE,FALSE,FALSE,,FALSE,,,
7,histogram,bar,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
8,line,line,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
9,line_stack,line,TRUE,FALSE,FALSE,FALSE,,FALSE,,,
10,line_smooth,line,FALSE,FALSE,TRUE,FALSE,,FALSE,,,
11,line_smooth_stack,line,TRUE,FALSE,FALSE,FALSE,,FALSE,,,
12,map_world_area,map,FALSE,FALSE,FALSE,FALSE,,FALSE,,world,area
13,map_world_point,map,FALSE,FALSE,FALSE,FALSE,,FALSE,,world,point
14,map_world_line,map,FALSE,FALSE,FALSE,FALSE,,FALSE,,world,line
15,map_china_area,map,FALSE,FALSE,FALSE,FALSE,,FALSE,,china,area
16,map_china_point,map,FALSE,FALSE,FALSE,FALSE,,FALSE,,china,point
17,map_china_line,map,FALSE,FALSE,FALSE,FALSE,,FALSE,,china,line
18,k,k,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
19,pie,pie,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
20,ring,ring,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
21,rose,ring,FALSE,FALSE,FALSE,FALSE,,FALSE,radius,,
22,chord,chord,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
23,chord_ribbon,chord,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
24,area,line,FALSE,FALSE,FALSE,TRUE,,FALSE,,,
25,area_stack,line,TRUE,FALSE,FALSE,FALSE,,FALSE,,,
26,area_smooth,line,FALSE,FALSE,TRUE,TRUE,,FALSE,,,
27,area_smooth_stack,line,TRUE,FALSE,FALSE,FALSE,,FALSE,,,
28,force,force,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
29,bubble,scatter,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
30,funnel,funnel,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
31,pyramid,funnel,FALSE,FALSE,FALSE,FALSE,ascending,FALSE,,,
32,tree,tree,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
33,treemap,treemap,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
34,wordcloud,wordCloud,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
35,heatmap,heatmap,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
36,radar,radar,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
37,radar_fill,radar,FALSE,FALSE,FALSE,TRUE,,FALSE,,,
38,gauge,gauge,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
39,eventriver,eventRiver,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
40,venn,venn,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
